PS,PD_15,PD_30,PD_45,PD_60,PD_75,PD_90,PD_105,PD_120,PD_135,PD_150,PD_150plus,fairness,satisfaction,SC_15,SC_30,SC_45,SC_60,SC_75,SC_90,SC_105,SC_120,SC_135,SC_150,SC_150plus,redist1,redist2,redist3,redist4,Household_Income,Political_Preference,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
4,8,52,11,8,7,5,4,2,1,1,1,5,5,30,58,12,0,0,0,0,0,0,0,0,1,1,3,6,15000,8,28,2,38.78368402,40635,19.91489362,21150
50,42,17,14,10,5,2,3,3,2,1,1,3,3,5,19,38,30,7,1,0,0,0,0,0,6,4,3,3,15000,3,50,2,47.22613683,36615,21.84230056,40425
99,17,31,22,8,4,5,5,3,3,1,1,1,1,40,43,15,1,1,0,0,0,0,0,0,4,6,2,5,15000,5,27,2,41.98696845,43740,25.84507042,21300
151,20,18,13,13,10,8,6,5,3,2,2,1,1,35,47,15,1,1,1,0,0,0,0,0,5,6,1,1,15000,1,30,2,42.4929972,53550,26.44481605,22425
68,2,10,30,13,12,10,9,8,3,2,1,3,5,16,24,22,10,3,5,10,0,0,10,0,2,3,5,4,16000,9,62,1,31.594172,63315,42.87051207,50970
108,15,20,21,15,13,11,1,1,1,1,1,1,1,80,20,0,0,0,0,0,0,0,0,0,1,4,1,2,16000,5,29,1,36.49196141,46650,13.91489362,14100
174,6,20,17,12,9,8,7,7,6,5,3,1,1,40,20,0,20,0,0,0,0,0,10,10,6,6,1,1,16000,2,47,1,38.83655816,65895,55.86554622,53550
295,61,20,0,0,0,0,0,0,10,5,4,1,1,75,0,0,0,0,0,0,0,0,10,15,6,6,1,1,17000,2,33,1,57.4549943,39495,61.35714286,52500
145,5,10,20,10,10,10,10,10,10,5,0,1,1,20,50,10,10,10,0,0,0,0,0,0,3,4,3,3,18000,6,41,1,32.9181532,71475,31.18367347,29400
165,7,22,30,12,10,5,3,3,3,3,2,3,3,5,69,0,5,10,10,0,0,0,0,1,3,4,3,4,18000,3,25,2,38.02313625,52515,33.76890756,35700
209,10,10,13,30,12,6,5,6,3,3,2,1,1,69,27,3,0,0,1,0,0,0,0,0,6,5,1,1,18000,2,64,2,34.80740741,60750,22.03955842,16305
221,13,14,20,19,11,9,4,4,3,2,1,5,5,5,20,20,13,13,14,0,0,0,5,10,1,2,4,5,18000,8,46,1,36.88956715,54060,41.38418079,66375
77,11,13,15,17,19,11,6,3,2,2,1,3,2,60,21,9,4,1,1,1,1,1,1,0,1,6,1,6,19000,5,52,1,34.16291252,57270,40.78481013,23700
131,30,50,20,0,0,0,0,0,0,0,0,1,1,50,20,10,10,10,0,0,0,0,0,0,6,6,1,1,19000,5,41,2,22.60402685,22350,38.28571429,26250
213,15,22,18,15,10,5,4,3,2,1,5,1,1,31,41,5,5,5,5,4,1,1,1,1,6,6,1,1,19000,2,41,2,43.16901408,53250,44.65511265,34620
37,20,17,22,13,10,7,5,2,2,1,1,5,4,31,25,21,11,11,1,0,0,0,0,0,5,5,1,2,20000,3,30,2,39.8608,46875,35.06433029,31245
128,5,17,18,20,14,12,6,4,3,1,0,3,3,4,10,25,21,17,11,6,2,1,2,1,4,4,2,4,20000,6,25,1,31.65695364,56625,29.64920923,57855
134,5,10,20,22,23,8,5,3,2,1,1,3,3,17,37,45,0,0,0,0,0,0,0,1,2,3,3,4,20000,5,30,2,29.23453608,58200,25.18191161,29190
161,13,26,14,12,8,7,6,5,4,3,2,4,3,48,52,0,0,0,0,0,0,0,0,0,4,4,2,4,20000,3,28,2,42.15222738,54885,17.01030928,17460
225,8,15,24,25,8,6,5,3,3,1,2,1,1,0,31,45,19,0,0,0,0,5,0,0,5,5,2,1,20000,2,29,1,35.08577753,54210,25.64925373,40200
247,2,4,4,4,8,12,13,15,15,12,11,3,3,9,16,16,17,0,3,0,13,12,6,8,2,4,2,4,20000,4,28,1,25.50678227,107265,41.78983652,76155
300,10,15,5,16,3,9,10,5,4,3,20,3,2,0,0,70,26,0,0,0,0,0,0,4,5,5,2,2,20000,2,55,2,42.10562181,88050,20.0754717,47700
1,10,19,26,20,9,6,3,3,2,1,1,2,2,4,31,36,17,7,3,1,0,0,0,1,4,4,3,4,21000,2,37,1,35.26339969,48975,28.14660667,40005
19,10,13,18,13,12,8,7,5,5,5,4,2,3,8,18,40,19,15,0,0,0,0,0,0,5,5,2,4,21000,3,28,1,39.138322,66150,24.28197457,40110
23,12,12,13,18,13,7,7,6,5,4,3,7,7,24,61,7,5,1,1,0,1,0,0,0,1,4,4,5,21000,8,32,1,38.32108812,64515,26.34313725,24480
41,5,37,11,11,7,9,5,4,4,4,3,1,3,1,28,16,29,0,17,0,0,0,0,9,4,4,3,3,21000, ,53,2,41.85789474,57000,38.96504559,59220
72,2,9,14,19,21,13,8,5,4,3,2,3,3,0,40,20,0,40,0,0,0,0,0,0,6,5,1,2,21000,2,28,1,29.42118975,69090,26.82758621,43500
115,19,17,7,8,7,7,7,10,10,5,3,4,3,17,49,24,0,7,0,0,0,3,0,0,5,6,3,3,21000,5,27,1,42.80499777,67230,32.35619794,30615
87,18,20,30,11,4,5,3,3,3,2,1,4,6,39,30,23,5,3,0,0,0,0,0,0,6,4,2,3,22000,3,29,2,40.66523605,45435,31.3339405,24705
222,16,24,28,13,6,3,2,2,2,2,2,3,3,0,0,16,22,26,5,19,8,4,0,0,3,5,2,5,22000,3,61,2,40.47145735,44670,22.00626305,71850
154,30,19,10,9,8,7,6,4,3,2,2,1,1,10,30,40,0,0,0,0,0,0,10,10,3,4,1,3,23000,4,56,2,46.88854489,48450,47.97883598,56700
