"Participant","Trial","Condition","Time","DesiredResponse","ActualResponse","Angle","CorrectResponse"
"sub1",1,"R2_3_3_2_0Y0.pct",1355,"Different","Different",0,"Correct"
"sub1",2,"R3_4_3_2_90Y150.pct",2079,"Different","Different",150,"Correct"
"sub1",3,"2_4_4_2_0Y150.pct",1834,"Same","Same",150,"Correct"
"sub1",4,"3_3_3_2_0Y100.pct",4780,"Same","Same",100,"Correct"
"sub1",5,"3_3_3_3_90Y50.pct",1685,"Same","Same",50,"Correct"
"sub1",6,"R2_4_4_2_0Y50.pct",1237,"Different","Different",50,"Correct"
"sub1",7,"R3_3_3_3_90Y100.pct",2961,"Different","Different",100,"Correct"
"sub1",8,"2_3_3_2_0Y0.pct",1275,"Same","Same",0,"Correct"
"sub1",9,"R3_4_3_3_180Y150.pct",4716,"Different","Different",150,"Correct"
"sub1",10,"2_4_4_2_180Y150.pct",3794,"Same","Different",150,"Incorrect"
"sub1",11,"R3_3_4_2_0Y50.pct",2238,"Different","Different",50,"Correct"
"sub1",12,"R2_3_4_2_90Y0.pct",1524,"Different","Different",0,"Correct"
"sub1",13,"3_3_3_3_180Y0.pct",964,"Same","Same",0,"Correct"
"sub1",14,"R3_4_3_3_180Y100.pct",3770,"Different","Different",100,"Correct"
"sub1",15,"2_4_4_3_90Y100.pct",2750,"Same","Same",100,"Correct"
"sub1",16,"3_4_3_2_90Y50.pct",1226,"Same","Same",50,"Correct"
"sub1",17,"R2_4_4_3_90Y100.pct",1789,"Different","Different",100,"Correct"
"sub1",18,"2_3_3_2_0Y150.pct",1384,"Same","Same",150,"Correct"
"sub1",19,"R2_3_4_2_90Y50.pct",2548,"Different","Different",50,"Correct"
"sub1",20,"2_3_4_2_90Y50.pct",1588,"Same","Same",50,"Correct"
"sub1",21,"R2_4_4_2_180Y100.pct",2114,"Different","Different",100,"Correct"
"sub1",22,"R2_4_4_2_0Y0.pct",2158,"Different","Different",0,"Correct"
"sub1",23,"3_4_3_2_90Y0.pct",1096,"Same","Same",0,"Correct"
"sub1",24,"R3_3_3_2_0Y150.pct",3829,"Different","Different",150,"Correct"
"sub1",25,"R3_4_4_3_180Y150.pct",4725,"Different","Different",150,"Correct"
"sub1",26,"R3_4_3_3_180Y50.pct",3211,"Different","Different",50,"Correct"
"sub1",27,"3_4_3_3_180Y50.pct",1541,"Same","Same",50,"Correct"
"sub1",28,"3_3_3_3_90Y100.pct",3219,"Same","Same",100,"Correct"
"sub1",29,"2_4_4_2_180Y0.pct",1421,"Same","Same",0,"Correct"
"sub1",30,"R3_4_3_2_90Y0.pct",1308,"Different","Different",0,"Correct"
"sub1",31,"3_3_4_2_0Y150.pct",3781,"Same","Same",150,"Correct"
"sub1",32,"R3_3_4_2_0Y100.pct",2665,"Different","Different",100,"Correct"
"sub1",33,"3_3_3_3_180Y50.pct",1831,"Same","Different",50,"Incorrect"
"sub1",34,"3_3_4_2_0Y100.pct",4636,"Same","Same",100,"Correct"
"sub1",35,"3_4_4_3_180Y150.pct",3149,"Same","Same",150,"Correct"
"sub1",36,"R3_3_3_3_180Y0.pct",1202,"Different","Different",0,"Correct"
"sub1",37,"3_4_3_3_180Y100.pct",2735,"Same","Same",100,"Correct"
"sub1",38,"R3_3_3_3_180Y150.pct",3211,"Different","Different",150,"Correct"
"sub1",39,"3_4_3_3_180Y0.pct",1406,"Same","Same",0,"Correct"
"sub1",40,"R3_3_3_3_90Y50.pct",1383,"Different","Different",50,"Correct"
"sub1",41,"2_4_4_3_90Y150.pct",2668,"Same","Same",150,"Correct"
"sub1",42,"R3_4_3_3_180Y0.pct",2203,"Different","Different",0,"Correct"
"sub1",43,"3_3_3_3_180Y100.pct",5983,"Same","Different",100,"Incorrect"
