"Participant","Trial","Condition","Time","DesiredResponse","ActualResponse","Angle","CorrectResponse"
"sub32",1,"R2_3_3_2_0Y0.pct",6150,"Different","Different",0,"Correct"
"sub32",2,"R3_4_3_2_90Y150.pct",4895,"Different","Different",150,"Correct"
"sub32",3,"2_4_4_2_0Y150.pct",2134,"Same","Same",150,"Correct"
"sub32",4,"3_3_3_2_0Y100.pct",4117,"Same","Same",100,"Correct"
"sub32",5,"3_3_3_3_90Y50.pct",3010,"Same","Same",50,"Correct"
"sub32",6,"R2_4_4_2_0Y50.pct",4412,"Different","Different",50,"Correct"
"sub32",7,"R3_3_3_3_90Y100.pct",NA,"Different","[N/A]",100,"Incorrect"
"sub32",8,"2_3_3_2_0Y0.pct",1782,"Same","Same",0,"Correct"
"sub32",9,"R3_4_3_3_180Y150.pct",3708,"Different","Different",150,"Correct"
"sub32",10,"2_4_4_2_180Y150.pct",3272,"Same","Same",150,"Correct"
"sub32",11,"R3_3_4_2_0Y50.pct",3692,"Different","Different",50,"Correct"
"sub32",12,"R2_3_4_2_90Y0.pct",2915,"Different","Different",0,"Correct"
"sub32",13,"3_3_3_3_180Y0.pct",1470,"Same","Same",0,"Correct"
"sub32",14,"R3_4_3_3_180Y100.pct",2417,"Different","Different",100,"Correct"
"sub32",15,"2_4_4_3_90Y100.pct",4307,"Same","Same",100,"Correct"
"sub32",16,"3_4_3_2_90Y50.pct",2744,"Same","Same",50,"Correct"
"sub32",17,"R2_4_4_3_90Y100.pct",3646,"Different","Different",100,"Correct"
"sub32",18,"2_3_3_2_0Y150.pct",2289,"Same","Same",150,"Correct"
"sub32",19,"R2_3_4_2_90Y50.pct",2609,"Different","Different",50,"Correct"
"sub32",20,"2_3_4_2_90Y50.pct",1947,"Same","Same",50,"Correct"
"sub32",21,"R2_4_4_2_180Y100.pct",3525,"Different","Different",100,"Correct"
"sub32",22,"R2_4_4_2_0Y0.pct",1747,"Different","Different",0,"Correct"
"sub32",23,"3_4_3_2_90Y0.pct",2135,"Same","Same",0,"Correct"
"sub32",24,"R3_3_3_2_0Y150.pct",2745,"Different","Different",150,"Correct"
"sub32",25,"R3_4_4_3_180Y150.pct",4276,"Different","Different",150,"Correct"
"sub32",26,"R3_4_3_3_180Y50.pct",2154,"Different","Different",50,"Correct"
"sub32",27,"3_4_3_3_180Y50.pct",1736,"Same","Same",50,"Correct"
"sub32",28,"3_3_3_3_90Y100.pct",3319,"Same","Same",100,"Correct"
"sub32",29,"2_4_4_2_180Y0.pct",1588,"Same","Same",0,"Correct"
"sub32",30,"R3_4_3_2_90Y0.pct",2327,"Different","Different",0,"Correct"
"sub32",31,"3_3_4_2_0Y150.pct",2682,"Same","Different",150,"Incorrect"
"sub32",32,"R3_3_4_2_0Y100.pct",2687,"Different","Different",100,"Correct"
"sub32",33,"3_3_3_3_180Y50.pct",1622,"Same","Same",50,"Correct"
"sub32",34,"3_3_4_2_0Y100.pct",1951,"Same","Same",100,"Correct"
"sub32",35,"3_4_4_3_180Y150.pct",3053,"Same","Same",150,"Correct"
"sub32",36,"R3_3_3_3_180Y0.pct",2423,"Different","Different",0,"Correct"
"sub32",37,"3_4_3_3_180Y100.pct",3256,"Same","Same",100,"Correct"
"sub32",38,"R3_3_3_3_180Y150.pct",2985,"Different","Different",150,"Correct"
"sub32",39,"3_4_3_3_180Y0.pct",1285,"Same","Same",0,"Correct"
"sub32",40,"R3_3_3_3_90Y50.pct",2589,"Different","Same",50,"Incorrect"
"sub32",41,"2_4_4_3_90Y150.pct",3976,"Same","Different",150,"Incorrect"
"sub32",42,"R3_4_3_3_180Y0.pct",2180,"Different","Different",0,"Correct"
"sub32",43,"3_3_3_3_180Y100.pct",2368,"Same","Same",100,"Correct"
"sub32",44,"R2_3_4_2_90Y150.pct",3292,"Different","Different",150,"Correct"
"sub32",45,"R2_3_3_2_0Y50.pct",3158,"Different","Different",50,"Correct"
"sub32",46,"R2_3_4_2_90Y100.pct",3417,"Different","Different",100,"Correct"
"sub32",47,"3_4_4_3_180Y0.pct",1132,"Same","Same",0,"Correct"
"sub32",48,"3_4_4_3_180Y50.pct",1289,"Same","Same",50,"Correct"
"sub32",49,"R2_4_4_2_0Y100.pct",4102,"Different","Different",100,"Correct"
